"Table. A-4. Results. J50 Dataset: Strategy 1, Strategy 2, Strategy 3. Time limit: 6000 sec.",,,,,,,,
Instance,Strategy 1,,Strategy 2,,,Strategy 3,,
,OFa,Timeb,OF,Time,Time_limg,OF,Time,Time_limg
J501_2,32,2.438,29,10.829,,29,7.266,
J503_3,23,2.714,20,5.105,,20,5.063,
J507_2,52,2.09,48,6002.09,Yes,47,6000,Yes
J5010_3,37,4.851,32,6004.851,Yes,32,6000,Yes
J5016_1,17,3.024,17,4.118,,17,3.234,
J5017_3,17,2.745,16,3.714,,16,1.563,
J5022_5,34,3.934,27,15.512,,28,456.312,
J5025_4,29,1.057,29,1.854,,29,1.438,
J5026_3,22,2.084,22,2.928,,22,2.094,
J5027_3,18,2.584,18,3.506,,17,2.344,
J5027_4,17,2.104,17,2.963,,17,2.953,
J5028_5,19,4.008,19,4.79,,19,3.734,
J5033_4,21,2.006,21,3.303,,20,2.734,
J5036_1,20,2.536,20,3.802,,20,3.39,
J5039_3,37,3.112,35,38.018,,30,6.125,
J5042_5,40,1.643,36,11.487,,36,9.515,
J5045_4,45,1.911,43,6001.911,Yes,44,6000,Yes
J5046_5,47,9.102,45,6009.102,Yes,46,6000,Yes
J5048_2,54,2.002,50,6002.002,Yes,50,6000,Yes
J5049_2,47,1.196,46,2.587,,46,1.578,
J5049_3,38,2.014,38,3.094,,38,1.797,
J5054_1,30,1.622,28,2.856,,28,2.078,
J5058_4,36,9.66,34,6009.66,Yes,35,273.375,
J5061_1,37,2.138,37,3.201,,37,2.313,
J5065_2,22,2.695,22,3.789,,22,1.734,
J5068_1,29,7.54,29,8.993,,28,5.797,
J5068_4,33,6.893,33,8.799,,32,5.797,
J5069_3,23,4.672,23,6.031,,21,5.281,
J5070_1,25,9.225,25,10.975,,26,10.156,
J5070_4,27,3.351,27,4.726,,27,2.765,
J5071_1,27,3.477,27,4.852,,27,1.875,
J5073_3,76,1.135,71,20.369,,71,11.953,
J5073_5,92,1.152,85,8.293,,83,8.032,
J5079_5,93,2.615,88,6002.615,Yes,84,6000,Yes
J5080_3,106,24.471,99,479.471,,99,6000,Yes
J5081_5,68,3.905,61,6003.905,Yes,60,6000,Yes
J5082_3,70,5.8,67,6005.8,Yes,71,6000,Yes
J5083_4,77,1.439,74,6001.439,Yes,72,6000,Yes
J5084_4,90,1.488,79,6001.488,Yes,82,6000,Yes
J5088_2,51,4.494,49,6.057,,47,5.156,
J5089_3,44,1.064,43,4.502,,44,10.0938,
J5091_3,60,4.119,56,5.963,,54,9.094,
J5092_2,66,6.758,64,36.555,,65,39.156,
J5092_4,68,14.838,64,77.572,,64,41.25,
J5095_3,47,1.543,46,200.902,,45,94.406,
J5096_1,47,4.937,43,9.343,,42,10.234,
J5098_5,49,11.33,49,12.283,,49,8.391,
J50104_2,64,3.997,63,7.763,,58,7.016,
J50104_4,54,5.322,54,6.806,,54,8.547,
J50106_3,48,39.01,47,40.619,,46,32.469,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,
