Table A-11. J50 Dataset: Best Known Solution (BKS) and Lower Bounds (LB) ,,,
Instance,BKS,LB,
,Published,Publishedd,Found by GBD
J501_2,25,17,24
J503_3,18,18,18
J507_2,42,27,27
J5010_3,26,23,16
J5016_1,17,17,17
J5017_3,16,16,16
J5022_5,22,22,22
J5025_4,29,18,29
J5026_3,22,20,22
J5027_3,17,17,17
J5027_4,17,17,17
J5028_5,19,19,19
J5033_4,20,20,20
J5036_1,20,20,20
J5039_3,27,27,27
J5042_5,30,30,30
J5045_4,36,33,24
J5046_5,39,32,26
J5048_2,40,35,26
J5049_2,45,27,45
J5049_3,38,28,38
J5054_1,25,25,25
J5058_4,28,22,25
J5061_1,37,27,37
J5065_2,22,22,22
J5068_1,28,24,28
J5068_4,32,27,32
J5069_3,21,21,21
J5070_1,24,23,24
J5070_4,27,27,27
J5071_1,27,27,21
J5073_3,68,47,66
J5073_5,78,44,77
J5079_5,80,41,65
J5080_3,82,56,61
J5081_5,53,43,43
J5082_3,56,45,41
J5083_4,56,49,40
J5084_4,59,47,43
J5088_2,45,42,45
J5089_3,41,41,41
J5091_3,53,33,52
J5092_2,61,41,57
J5092_4,60,43,56
J5095_3,43,39,39
J5096_1,39,39,39
J5098_5,49,36,49
J50104_2,55,47,55
J50104_4,53,40,52
J50106_3,46,42,46
d: Critical path method (CPM) lower bound,,,
