"Table. A-5. Results. J100 Dataset: Benchmark 1, Benchmark 2. Time limit: 6000 sec.",,,,,,
Instance,Benchmark  1,,,Benchmark  2,,
,OFa,Timeb,Time_limg,OF,Time,Time_limg
J1002_3,28,6000,Yes,28,6000,Yes
J1004_5,25,37.594,,25,28.8906,
J1005_5,20,23.3125,,20,18.375,
J1007_2,52,6000,Yes,53,6000,Yes
J1008_4,47,6000,Yes,50,6000,Yes
J1009_5,35,6000,Yes,36,6000,Yes
J10010_4,33,6000,Yes,34,6000,Yes
J10012_4,44,6000,Yes,44,6000,Yes
J10013_5,31,55.828,,31,423.031,
J10017_3,22,9.859,,22,7.594,
J10020_1,24,60.797,,24,81.266,
J10020_2,24,155.281,,24,1336,
J10022_1,25,6000,Yes,25,6000,Yes
J10028_3,22,23.703,,22,29.953,
J10030_1,24,11.984,,24,17.422,
J10032_3,25,45.813,,25,242.297,
J10033_5,25,25.906,,25,14.75,
J10035_3,20,26.547,,20,11.063,
J10036_1,25,26.344,,25,14.391,
J10036_4,28,11.703,,28,14.641,
J10036_5,21,30.422,,21,29.781,
J10037_3,50,733.609,,50,916.531,
J10038_1,42,6000,Yes,43,6000,Yes
J10043_5,98,6000,Yes,N/A,6000,Yes
J10045_3,65,6000,Yes,102,6000,Yes
J10047_5,42,6000,Yes,46,6000,Yes
J10049_3,49,247.016,,49,884.016,
J10051_1,32,29.328,,32,24.422,
J10052_5,30,111.078,,30,835.875,
J10055_1,49,6000,Yes,61,6000,Yes
J10056_3,38,744.297,,38,3613,
J10056_5,38,6000,Yes,38,6000,Yes
J10060_4,34,34.203,,34,39.781,
J10061_1,45,451.375,,45,166.453,
J10062_1,35,569.641,,35,882.828,
J10066_2,27,21.078,,27,26.406,
J10068_2,39,60.359,,39,74.484,
J10072_4,32,39.625,,32,42.734,
J10076_4,61,2483,,65,6000,Yes
J10078_1,57,643.219,,57,175.828,
J10085_3,74,1280.53,,74,1917,
J10088_1,56,36.484,,56,72.875,
J10090_2,57,33.094,,57,29.844,
J10095_3,61,43.719,,61,41.156,
J10097_4,75,650.844,,75,2576,
J10099_2,50,32.25,,50,38.828,
J100101_2,58,26.281,,58,8.063,
J100102_2,48,28.4219,,48,22.156,
J100104_4,64,4009,,72,6000,Yes
J100106_2,55,46.125,,55,76.828,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,
