"Table. A-8. Results. J50 Dataset: Benchmark 1, Strategy 1, Strategy 3. Time limit: 600 sec.",,,,,,,,
Instance,Benchmark  1,,,Strategy 1,,Strategy 3,,
,OFa,Timeb,Time_limg,OFa,Timeb,OF,Time,Time_limg
J501_2,25,64.422,,32,2.438,29,7.266,
J503_3,18,5.922,,23,2.714,20,5.063,
J507_2,284,600,Yes,52,2.09,47,600,Yes
J5010_3,27,600,Yes,37,4.851,32,600,Yes
J5016_1,17,6.641,,17,3.024,17,3.234,
J5017_3,16,3.566,,17,2.745,16,1.563,
J5022_5,23,600,Yes,34,3.934,28,456.312,
J5025_4,29,11.719,,29,1.057,29,1.438,
J5026_3,22,8.438,,22,2.084,22,2.094,
J5027_3,17,8,,18,2.584,17,2.344,
J5027_4,17,3.172,,17,2.104,17,2.953,
J5028_5,19,4.234,,19,4.008,19,3.734,
J5033_4,20,5.375,,21,2.006,20,2.734,
J5036_1,20,4.297,,20,2.536,20,3.39,
J5039_3,27,17.625,,37,3.112,30,6.125,
J5042_5,30,11.343,,40,1.643,36,9.515,
J5045_4,39,600,Yes,45,1.911,44,600,Yes
J5046_5,41,600,Yes,47,9.102,46,600,Yes
J5048_2,43,600,Yes,54,2.002,50,600,Yes
J5049_2,45,31.821,,47,1.196,46,1.578,
J5049_3,38,58.547,,38,2.014,38,1.797,
J5054_1,25,9.063,,30,1.622,28,2.078,
J5058_4,29,600,Yes,36,9.66,35,273.375,
J5061_1,37,112.641,,37,2.138,37,2.313,
J5065_2,22,8.563,,22,2.695,22,1.734,
J5068_1,28,165.156,,29,7.54,28,5.797,
J5068_4,32,32.5,,33,6.893,32,5.797,
J5069_3,21,13.172,,23,4.672,21,5.281,
J5070_1,24,13.391,,25,9.225,26,10.156,
J5070_4,27,12.5,,27,3.351,27,2.765,
J5071_1,27,7,,27,3.477,27,1.875,
J5073_3,68,338.188,,76,1.135,71,11.953,
J5073_5,78,362.188,,92,1.152,83,8.032,
J5079_5,N/A,600,Yes,93,2.615,88,600,Yes
J5080_3,N/A,600,Yes,106,24.471,104,600,Yes
J5081_5,69,600,Yes,68,3.905,62,600,Yes
J5082_3,95,600,Yes,70,5.8,71,600,Yes
J5083_4,59,600,Yes,77,1.439,73,600,Yes
J5084_4,78,600,Yes,90,1.488,83,600,Yes
J5088_2,45,109.703,,51,4.494,47,5.156,
J5089_3,41,9.484,,44,1.064,44,10.0938,
J5091_3,53,326.875,,60,4.119,54,9.094,
J5092_2,N/A,600,Yes,66,6.758,65,39.156,
J5092_4,299,600,Yes,68,14.838,64,41.25,
J5095_3,43,185.359,,47,1.543,45,94.406,
J5096_1,39,23.25,,47,4.937,42,10.234,
J5098_5,49,69.719,,49,11.33,49,8.391,
J50104_2,55,86.844,,64,3.997,58,7.016,
J50104_4,53,592.844,,54,5.322,54,8.547,
J50106_3,46,176.141,,48,39.01,46,32.469,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,
