"Table. A-1. Results. J30 Dataset: Benchmark 1, Benchmark 2. Time limit: 6000 sec.",,,,,,
Instance,Benchmark  1,,,Benchmark  2,,
,OFa,Timeb,Time_limg,OF,Time,Time_limg
j3010_3,24,6.047,,24,2.828,
j3012_7,27,6.469,,27,4.078,
j3012_9,22,5.484,,22,2.578,
j3013_10,43,6000,Yes,43,6000,Yes
j3015_5,24,18.547,,24,33.7812,
j3016_1,27,9.297,,27,7.547,
j3016_2,41,7.891,,41,6.578,
j3016_5,30,7.922,,30,7.4375,
j3016_9,24,7.797,,24,8.891,
j3018_6,25,2.125,,25,2.688,
j3019_1,35,5.406,,35,2.563,
j3020_4,35,2.125,,35,2.438,
j3020_7,30,2.562,,30,2.516,
j3021_4,37,879.781,,37,3225.39,
j3021_5,37,6000,Yes,37,6000,Yes
j3022_5,30,153.094,,30,601.188,
j3022_9,34,11.484,,34,6.188,
j3023_10,21,7.703,,21,4.672,
j3025_1,34,5.547,,34,6.453,
j3025_8,33,5.875,,33,7.968,
j3026_2,22,2.328,,22,5.313,
j3026_5,22,4,,22,3.063,
j3027_3,28,1.75,,28,2.75,
j3027_10,29,1.625,,29,3.266,
j3028_1,37,3.688,,37,2.672,
j3028_5,23,3.609,,23,1.641,
j3031_1,25,4.125,,25,10.781,
j3031_2,43,5.828,,43,5.141,
j3032_8,29,2.578,,29,3.484,
j3039_2,42,81.656,,42,183.375,
j3039_4,49,58.469,,49,92.078,
j3040_9,43,14.688,,43,38.219,
j3041_7,39,203.312,,39,220.016,
j3043_7,33,4.078,,33,33.688,
j3044_3,34,11,,34,13.922,
j3045_6,47,6000,Yes,49,6000,Yes
j3047_4,38,28.9,,38,82.313,
j3047_5,26,21.781,,26,69.672,
j3048_1,28,10.188,,28,19.969,
j3049_4,37,14.5,,37,13.438,
j3050_8,27,8.328,,27,18.234,
j3051_3,27,5.469,,27,3.797,
j3051_4,51,5.656,,51,3.25,
j3055_7,44,8.125,,44,7.578,
j3056_9,33,6.813,,33,12.359,
j3057_7,27,4.578,,27,6.9375,
j3057_9,26,11.203,,26,9.938,
j3060_1,22,1.797,,22,3.109,
j3063_2,30,3.844,,30,4.297,
j3064_10,36,4.89,,36,4.531,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,
